symbol,date,status,old_open,old_high,old_low,old_close,old_volume
LT,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,4047.5,4047.5,4047.5,4047.5,0.0
LT,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,4216.39990234375,4216.39990234375,4216.39990234375,4216.39990234375,0.0
M&M,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,3649.5,3649.5,3649.5,3649.5,0.0
M&M,2026-05-01,REMOVED_NSE_HOLIDAY_PLACEHOLDER,3097.5,3097.5,3097.5,3097.5,0.0
M&M,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,3121.60009765625,3121.60009765625,3121.60009765625,3121.60009765625,0.0
M&M,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,3182.199951171875,3182.199951171875,3182.199951171875,3182.199951171875,0.0
MARUTI,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,16152.0,16152.0,16152.0,16152.0,0.0
MARUTI,2026-05-01,REMOVED_NSE_HOLIDAY_PLACEHOLDER,13314.0,13314.0,13314.0,13314.0,0.0
MARUTI,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,13364.0,13364.0,13364.0,13364.0,0.0
MARUTI,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,13745.0,13745.0,13745.0,13745.0,0.0
MAXHEALTH,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1033.5999755859375,1033.5999755859375,1033.5999755859375,1033.5999755859375,0.0
MAXHEALTH,2026-05-01,REMOVED_NSE_HOLIDAY_PLACEHOLDER,993.0499877929688,993.0499877929688,993.0499877929688,993.0499877929688,0.0
MAXHEALTH,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,993.4500122070312,993.4500122070312,993.4500122070312,993.4500122070312,0.0
MAXHEALTH,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1123.3499755859375,1123.3499755859375,1123.3499755859375,1123.3499755859375,0.0
NESTLEIND,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1307.0999755859375,1307.0999755859375,1307.0999755859375,1307.0999755859375,0.0
NESTLEIND,2026-05-01,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1458.5999755859375,1458.5999755859375,1458.5999755859375,1458.5999755859375,0.0
NESTLEIND,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1427.5,1427.5,1427.5,1427.5,0.0
NESTLEIND,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1402.5999755859375,1402.5999755859375,1402.5999755859375,1402.5999755859375,0.0
NTPC,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,349.1000061035156,349.1000061035156,349.1000061035156,349.1000061035156,0.0
NTPC,2026-05-01,REMOVED_NSE_HOLIDAY_PLACEHOLDER,399.1499938964844,399.1499938964844,399.1499938964844,399.1499938964844,0.0
NTPC,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,398.1499938964844,398.1499938964844,398.1499938964844,398.1499938964844,0.0
NTPC,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,352.04998779296875,352.04998779296875,352.04998779296875,352.04998779296875,0.0
ONGC,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,248.22999572753903,248.22999572753903,248.22999572753903,248.22999572753903,0.0
ONGC,2026-05-01,REMOVED_NSE_HOLIDAY_PLACEHOLDER,299.54998779296875,299.54998779296875,299.54998779296875,299.54998779296875,0.0
ONGC,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,274.04998779296875,274.04998779296875,274.04998779296875,274.04998779296875,0.0
ONGC,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,233.1000061035156,233.1000061035156,233.1000061035156,233.1000061035156,0.0
POWERGRID,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,258.3500061035156,258.3500061035156,258.3500061035156,258.3500061035156,0.0
POWERGRID,2026-05-01,REMOVED_NSE_HOLIDAY_PLACEHOLDER,318.3500061035156,318.3500061035156,318.3500061035156,318.3500061035156,0.0
POWERGRID,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,300.1499938964844,300.1499938964844,300.1499938964844,300.1499938964844,0.0
POWERGRID,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,283.8999938964844,283.8999938964844,283.8999938964844,283.8999938964844,0.0
RELIANCE,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1458.800048828125,1458.800048828125,1458.800048828125,1458.800048828125,0.0
RELIANCE,2026-05-01,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1430.800048828125,1430.800048828125,1430.800048828125,1430.800048828125,0.0
RELIANCE,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1350.5,1350.5,1350.5,1350.5,0.0
RELIANCE,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1318.0999755859375,1318.0999755859375,1318.0999755859375,1318.0999755859375,0.0
SBILIFE,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,2068.800048828125,2068.800048828125,2068.800048828125,2068.800048828125,0.0
SBILIFE,2026-05-01,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1819.0,1819.0,1819.0,1819.0,0.0
SBILIFE,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1864.5,1864.5,1864.5,1864.5,0.0
SBILIFE,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1744.9000244140625,1744.9000244140625,1744.9000244140625,1744.9000244140625,0.0
SBIN,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1028.3499755859375,1028.3499755859375,1028.3499755859375,1028.3499755859375,0.0
SBIN,2026-05-01,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1068.449951171875,1068.449951171875,1068.449951171875,1068.449951171875,0.0
SBIN,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,967.7999877929688,967.7999877929688,967.7999877929688,967.7999877929688,0.0
SBIN,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1045.4000244140625,1045.4000244140625,1045.4000244140625,1045.4000244140625,0.0
SHREECEM,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,27550.0,27550.0,27550.0,27550.0,0.0
SHREECEM,2026-05-01,REMOVED_NSE_HOLIDAY_PLACEHOLDER,24195.0,24195.0,24195.0,24195.0,0.0
SHREECEM,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,25400.0,25400.0,25400.0,25400.0,0.0
SHREECEM,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,25735.0,25735.0,25735.0,25735.0,0.0
SHRIRAMFIN,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,981.0999755859376,981.0999755859376,981.0999755859376,981.0999755859376,0.0
SHRIRAMFIN,2026-05-01,REMOVED_NSE_HOLIDAY_PLACEHOLDER,937.3499755859376,937.3499755859376,937.3499755859376,937.3499755859376,0.0
SHRIRAMFIN,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,963.2000122070312,963.2000122070312,963.2000122070312,963.2000122070312,0.0
SHRIRAMFIN,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1031.800048828125,1031.800048828125,1031.800048828125,1031.800048828125,0.0
SUNPHARMA,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1700.699951171875,1700.699951171875,1700.699951171875,1700.699951171875,0.0
